Age,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,Travel_Rarely,Research & Development,8,1,2,Male,2,Manufacturing Director,Married,5056,1,Yes,3,3,1,10,2,2,10,7,1,2
45,Travel_Frequently,Sales,26,4,1,Female,3,Sales Executive,Married,4286,2,No,3,4,2,5,4,3,1,1,0,0
23,Travel_Rarely,Research & Development,10,1,1,Male,4,Research Scientist,Single,3505,1,No,3,4,0,2,3,3,2,2,0,2
34,Travel_Frequently,Research & Development,7,3,1,Male,1,Laboratory Technician,Single,6074,1,Yes,4,4,0,9,3,3,9,7,0,6
49,Travel_Rarely,Research & Development,6,1,3,Female,2,Healthcare Representative,Married,13966,2,Yes,3,2,1,30,3,3,15,11,2,12
46,Non-Travel,Research & Development,7,4,3,Female,3,Manufacturing Director,Married,5258,2,No,3,3,0,7,2,4,1,0,0,0
56,Travel_Rarely,Research & Development,7,3,4,Male,1,Manufacturing Director,Single,7260,4,No,3,1,0,37,3,2,6,4,0,2
39,Travel_Frequently,Research & Development,4,3,1,Female,3,Manufacturing Director,Single,5042,0,No,3,4,0,10,2,1,9,2,3,8
24,Non-Travel,Sales,13,2,4,Female,3,Sales Representative,Married,2033,1,No,3,3,1,1,2,3,1,0,0,0
26,Travel_Frequently,Sales,1,3,3,Male,2,Sales Executive,Single,4294,1,No,3,2,0,7,2,3,7,7,0,7
48,Travel_Rarely,Research & Development,1,4,4,Female,2,Manager,Married,15402,7,No,3,1,1,21,3,1,3,2,0,2
34,Travel_Rarely,Research & Development,5,3,3,Female,2,Manager,Single,11631,2,No,3,4,0,14,6,3,11,10,5,8
24,Travel_Frequently,Research & Development,9,3,2,Male,3,Laboratory Technician,Single,3172,2,Yes,3,3,0,4,2,2,0,0,0,0
56,Travel_Rarely,Research & Development,7,2,4,Male,3,Laboratory Technician,Married,2339,8,No,3,4,1,14,4,1,10,9,9,8
41,Travel_Rarely,Human Resources,1,3,4,Male,2,Manager,Married,19189,1,No,3,2,1,22,3,3,22,7,2,10
47,Non-Travel,Research & Development,29,4,1,Male,3,Manager,Married,11849,1,Yes,3,4,1,10,2,2,10,7,9,9
35,Travel_Rarely,Sales,10,3,4,Male,2,Sales Executive,Married,10306,9,No,3,3,0,15,3,3,13,12,6,0
32,Travel_Rarely,Research & Development,2,4,4,Male,3,Laboratory Technician,Single,1393,1,No,3,1,0,1,2,3,1,0,0,0
46,Travel_Rarely,Research & Development,8,4,4,Female,2,Research Scientist,Divorced,4615,8,Yes,4,1,3,19,2,3,16,13,1,7
50,Travel_Rarely,Research & Development,1,2,4,Male,3,Research Director,Divorced,17399,9,No,4,3,1,32,1,2,5,4,1,3
41,Travel_Rarely,Sales,23,2,4,Male,3,Sales Executive,Single,7082,3,Yes,3,4,0,21,2,3,2,0,0,2
56,Travel_Rarely,Sales,11,5,4,Female,2,Sales Executive,Married,5380,4,No,3,3,1,6,3,3,0,0,0,0
36,Travel_Rarely,Research & Development,7,4,2,Male,3,Research Scientist,Single,4678,2,No,3,3,0,8,6,3,6,2,0,1
48,Travel_Rarely,Research & Development,6,3,1,Male,2,Healthcare Representative,Single,4240,2,No,3,4,0,19,0,3,2,2,2,2
26,Travel_Frequently,Research & Development,1,2,1,Female,1,Laboratory Technician,Divorced,4364,3,No,3,1,1,5,2,3,2,2,2,0
51,Travel_Rarely,Research & Development,3,3,1,Female,3,Manager,Married,13116,2,No,3,4,0,15,2,3,2,2,2,2
30,Travel_Rarely,Research & Development,2,3,3,Female,1,Manufacturing Director,Single,6091,2,No,4,3,0,11,2,3,5,4,0,2
34,Travel_Rarely,Research & Development,2,4,3,Female,2,Research Scientist,Single,4381,1,No,3,3,0,6,3,3,6,5,1,3
22,Travel_Rarely,Research & Development,1,2,4,Male,2,Manufacturing Director,Married,4775,6,No,4,1,2,4,2,1,2,2,2,2
46,Travel_Rarely,Research & Development,2,3,1,Male,3,Research Director,Married,17861,6,No,3,3,0,26,2,1,3,2,0,1
55,Travel_Rarely,Research & Development,8,3,4,Female,3,Manager,Divorced,14756,2,Yes,3,3,3,21,2,3,5,0,0,2
30,Travel_Rarely,Research & Development,1,2,4,Male,3,Laboratory Technician,Married,3748,1,No,3,3,0,12,6,2,12,8,1,7
31,Travel_Rarely,Sales,29,4,1,Female,2,Sales Executive,Married,5468,1,No,3,1,2,13,3,3,12,7,5,7
29,Travel_Frequently,Research & Development,24,2,4,Male,2,Research Scientist,Single,2439,1,Yes,4,2,0,1,3,2,1,0,1,0
49,Non-Travel,Research & Development,18,4,4,Male,3,Manufacturing Director,Divorced,6804,1,Yes,3,1,2,7,0,3,7,7,1,7
45,Travel_Frequently,Research & Development,7,3,1,Male,3,Laboratory Technician,Divorced,5210,1,No,3,1,1,24,2,3,24,9,9,11
36,Travel_Frequently,Human Resources,2,1,2,Male,2,Human Resources,Single,3886,1,No,4,4,0,10,2,2,10,1,0,8
35,Travel_Rarely,Research & Development,25,2,1,Male,2,Laboratory Technician,Single,3681,4,No,3,4,0,9,3,3,3,2,0,2
31,Travel_Rarely,Research & Development,1,2,4,Male,2,Laboratory Technician,Married,2218,1,No,3,3,1,4,3,3,4,2,3,2
28,Non-Travel,Research & Development,1,3,3,Female,1,Laboratory Technician,Married,6674,0,No,3,1,3,10,6,3,9,8,7,5
22,Travel_Rarely,Research & Development,15,3,2,Female,3,Laboratory Technician,Single,2871,1,No,3,3,0,1,5,3,0,0,0,0
36,Travel_Rarely,Sales,3,1,3,Male,2,Sales Executive,Married,10325,1,Yes,3,1,1,16,6,3,16,7,3,7
56,Travel_Rarely,Human Resources,8,4,4,Male,3,Manager,Single,19717,6,No,3,1,0,36,4,3,7,3,7,7
40,Travel_Rarely,Sales,10,3,2,Female,2,Sales Executive,Divorced,6852,7,No,3,2,1,7,2,4,5,1,1,3
35,Travel_Frequently,Sales,11,2,4,Male,3,Sales Executive,Divorced,4968,1,No,3,4,1,5,3,3,5,2,0,2
29,Travel_Rarely,Sales,10,3,3,Male,2,Sales Executive,Single,5869,9,No,3,3,0,8,2,3,5,2,1,4
59,Travel_Rarely,Sales,3,3,3,Female,2,Sales Executive,Single,5171,5,No,3,4,0,13,2,3,6,1,0,5
50,Travel_Rarely,Sales,1,4,4,Female,3,Manager,Divorced,19517,3,No,3,3,1,32,3,2,7,0,0,6
35,Travel_Rarely,Research & Development,1,4,4,Male,2,Laboratory Technician,Married,2258,6,No,3,2,1,10,2,3,8,0,1,7
49,Travel_Rarely,Research & Development,1,3,3,Female,3,Research Scientist,Married,3580,2,No,3,2,1,7,2,3,4,2,0,2
28,Travel_Rarely,Research & Development,1,3,3,Female,3,Research Scientist,Married,3591,1,No,4,3,1,3,3,3,3,2,1,2
30,Travel_Rarely,Sales,1,3,2,Male,2,Sales Executive,Married,9714,1,No,3,4,1,10,4,3,10,8,6,7
50,Travel_Rarely,Sales,8,4,4,Male,3,Sales Representative,Married,3875,7,No,3,4,1,4,2,3,2,2,2,2
32,Non-Travel,Research & Development,29,4,4,Female,3,Laboratory Technician,Single,4025,9,No,3,2,0,10,2,3,8,7,7,7
39,Travel_Rarely,Sales,24,1,2,Female,2,Sales Executive,Married,12031,0,No,3,1,1,21,2,2,20,9,9,6
33,Travel_Frequently,Research & Development,1,2,1,Female,3,Research Director,Single,13458,1,Yes,3,3,0,15,1,3,15,14,8,12
31,Travel_Rarely,Research & Development,4,3,1,Female,4,Laboratory Technician,Divorced,3978,8,No,3,2,1,4,0,2,2,2,2,2
46,Travel_Rarely,Research & Development,1,4,4,Male,3,Research Director,Divorced,19627,9,No,3,4,2,23,0,3,2,2,2,2
41,Travel_Rarely,Human Resources,10,4,2,Male,2,Manager,Divorced,19141,3,No,3,2,3,23,2,2,21,6,12,6
26,Travel_Rarely,Research & Development,25,3,1,Male,1,Laboratory Technician,Single,2293,1,No,3,3,0,1,2,2,1,0,0,1
